,x_emb,y_emb,n,tau,tau_colours
80,0.6326650630415364,0.5322375514769113,100,0,#41b6c4
81,0.6070735252068646,-0.30567996324791613,100,1,#CA054D
82,0.6065389083227077,0.4085019119592384,100,0,#41b6c4
83,0.4639131867443693,-0.3964894838800835,100,1,#CA054D
84,0.6951973740133572,0.571022875491707,100,0,#41b6c4
85,0.58445424584131,0.42415994712217414,100,0,#41b6c4
86,0.6074221068161955,0.5409924490684298,100,0,#41b6c4
87,0.6070124772356611,0.5894779905508319,100,0,#41b6c4
88,0.5375776313237237,0.2460188661361382,100,0,#41b6c4
89,0.533267240915094,0.22051273967950177,100,0,#41b6c4
90,0.7727169227436986,0.4009938550708084,100,0,#41b6c4
91,0.5502505433655057,-0.3548531552531155,100,1,#CA054D
92,0.4634266638189335,-0.1409272738395478,100,1,#CA054D
93,0.6196021320993693,-0.4154095172336357,100,1,#CA054D
94,0.6077523162733351,0.431021449331811,100,0,#41b6c4
95,0.5714731958086795,0.12604707504814422,100,0,#41b6c4
96,0.628624886194154,0.2310060626163306,100,0,#41b6c4
97,0.6007438893785813,-0.35437732292189156,100,1,#CA054D
98,0.6123805841839004,-0.4575117843633982,100,1,#CA054D
99,0.3872768085819583,0.3603312276131331,100,0,#41b6c4
100,0.5989234493226547,-0.5581057977155844,100,1,#CA054D
101,0.6344227563620041,0.36670798863319043,100,0,#41b6c4
102,0.4536951645330386,0.25614617923671723,100,0,#41b6c4
103,0.5581773583689985,0.33117044088307135,100,0,#41b6c4
104,0.5726173692398715,0.41228928169564444,100,0,#41b6c4
105,0.6326063092960527,-0.4857563973658228,100,1,#CA054D
106,0.7072190999838127,-0.40542660537608505,100,1,#CA054D
107,0.5623931306175772,-0.4047964575217918,100,1,#CA054D
108,0.7133783062754304,0.41572448206660106,100,0,#41b6c4
109,0.47860931489281816,0.400612668993513,100,0,#41b6c4
110,0.8007922588893542,-0.30178245926860287,100,1,#CA054D
111,0.7221274630120039,-0.46924924991855566,100,1,#CA054D
112,0.7567825297520742,-0.2601286100820532,100,1,#CA054D
113,0.6656647863491812,0.5023952752370542,100,0,#41b6c4
114,0.7598828574308154,-0.4732559572817736,100,1,#CA054D
115,0.5806033725676759,-0.4880182450257357,100,1,#CA054D
116,0.5779084385520088,0.30964482446735636,100,0,#41b6c4
117,0.6361224248188965,0.49640051732731894,100,0,#41b6c4
118,0.5945710159082592,-0.27581317080533396,100,1,#CA054D
119,0.6179665161688936,0.29667478910512307,100,0,#41b6c4
120,0.6377771791493524,-0.38698587595886064,100,1,#CA054D
121,0.5451544103294783,0.36185327826619706,100,0,#41b6c4
122,0.6065012793007103,-0.4205610143231692,100,1,#CA054D
123,0.5854273051103267,0.5799668922070822,100,0,#41b6c4
124,0.5538390141978381,0.3961424453943612,100,0,#41b6c4
125,0.6960400037337853,-0.5838556726729542,100,1,#CA054D
126,0.6136752950107786,-0.4542418680112899,100,1,#CA054D
127,0.611320977550358,-0.3424685560885886,100,1,#CA054D
128,0.5217335963120422,0.21928067392331757,100,0,#41b6c4
129,0.632386899512807,0.633359713709823,100,0,#41b6c4
130,0.5092918794872643,-0.3063747752935867,100,1,#CA054D
131,0.6405663814753215,-0.4002011788180663,100,1,#CA054D
132,0.606148409296075,0.25572813275829764,100,0,#41b6c4
133,0.5145073173745455,-0.35830297871650935,100,1,#CA054D
134,0.5943635136822029,-0.3706278088493465,100,1,#CA054D
135,0.6642854150544927,-0.30313496819532965,100,1,#CA054D
136,0.59424804541959,-0.3037631460654812,100,1,#CA054D
137,0.7563745761658902,-0.3700158773761879,100,1,#CA054D
138,0.618830793604104,-0.4335834384966579,100,1,#CA054D
139,0.5357431085693647,-0.4725894765173993,100,1,#CA054D
140,0.6640985589230417,0.7077574581454514,100,0,#41b6c4
141,0.5573529656303616,-0.5800640228163028,100,1,#CA054D
142,0.5610381486060007,0.30889072374026255,100,0,#41b6c4
143,0.40297153250267476,0.3993979496598258,100,0,#41b6c4
144,0.6983794903605138,0.45745653220040006,100,0,#41b6c4
145,0.6375342074465586,0.4694205521420128,100,0,#41b6c4
146,0.5242349185244134,0.5866297765963039,100,0,#41b6c4
147,0.6004841224276067,0.36699818578360416,100,0,#41b6c4
148,0.5425161085351796,-0.4485344850356182,100,1,#CA054D
149,0.4619265776791809,0.2077492780114958,100,0,#41b6c4
150,0.5407618341615702,-0.5413853795968729,100,1,#CA054D
151,0.5773814283508064,0.4353690953904152,100,0,#41b6c4
152,0.6289089838010457,-0.2264531874920688,100,1,#CA054D
153,0.5221664966088394,0.14648466932354834,100,0,#41b6c4
154,0.6461863701774322,-0.37239982514704184,100,1,#CA054D
155,0.6081359726791746,-0.48287560799816537,100,1,#CA054D
156,0.5844481393282481,0.35614823322263833,100,0,#41b6c4
157,0.4551419763006116,-0.410070803260444,100,1,#CA054D
158,0.42015576388837156,0.3456446106617634,100,0,#41b6c4
159,0.679055297344025,-0.3858186873813545,100,1,#CA054D
160,0.4404359698415028,0.40802749532830906,100,0,#41b6c4
161,0.4931774734348135,0.34896077050105195,100,0,#41b6c4
162,0.39446043075921833,0.21662316962418332,100,0,#41b6c4
163,0.6082544652881537,0.5309250876152,100,0,#41b6c4
164,0.5645813053668344,-0.4203022393084983,100,1,#CA054D
165,0.5037292413523881,-0.13404583326600766,100,1,#CA054D
166,0.6360297254463332,-0.4173193810356254,100,1,#CA054D
167,0.7183506598794056,0.42776114965173606,100,0,#41b6c4
168,0.6383672044254891,-0.3775190858538261,100,1,#CA054D
169,0.53851545340069,-0.2573081737716237,100,1,#CA054D
170,0.459473211501963,-0.47654676885394404,100,1,#CA054D
171,0.6755107481585918,0.7528042758883815,100,0,#41b6c4
172,0.6555884016168234,-0.47589742742353336,100,1,#CA054D
173,0.5368975898738688,-0.30331799482591204,100,1,#CA054D
174,0.5438933392190638,0.43703360304462485,100,0,#41b6c4
175,0.505948218451311,-0.4267826333672412,100,1,#CA054D
176,0.6919503164634956,-0.30832332959447484,100,1,#CA054D
177,0.6205995183884768,-0.47026022471403556,100,1,#CA054D
178,0.6406400323429131,0.361425109019296,100,0,#41b6c4
179,0.6558051957987718,0.4613779836303718,100,0,#41b6c4
