,x_emb,y_emb,n,tau,tau_colours
380,0.5659177858614669,-0.38561792397454697,500,1,#CA054D
381,0.6117933829247411,0.4015614982471801,500,0,#41b6c4
382,0.5517313991042472,0.4011067232153746,500,0,#41b6c4
383,0.5689696600990406,-0.40557022818330213,500,1,#CA054D
384,0.5799963677613906,0.4518418684305673,500,0,#41b6c4
385,0.5711919572696594,0.4738503523979005,500,0,#41b6c4
386,0.6836843374350301,-0.5018403929444526,500,1,#CA054D
387,0.5154965201732972,0.406357349251847,500,0,#41b6c4
388,0.5884466874104276,0.39989400341352854,500,0,#41b6c4
389,0.5372520168375947,0.42400264110736996,500,0,#41b6c4
390,0.6382999845860732,-0.4870652794241682,500,1,#CA054D
391,0.6278166489738346,0.40605560650211914,500,0,#41b6c4
392,0.5914710989586114,0.335601443652893,500,0,#41b6c4
393,0.5796333619407189,0.44751258615066897,500,0,#41b6c4
394,0.5708187643543242,0.4007539176233046,500,0,#41b6c4
395,0.5476289499654597,0.36846573399123445,500,0,#41b6c4
396,0.555867154723944,0.4556265147408441,500,0,#41b6c4
397,0.5928077566821425,0.4094007983547356,500,0,#41b6c4
398,0.5646607497784697,-0.3794176168557,500,1,#CA054D
399,0.5440883157629001,0.3333475561120646,500,0,#41b6c4
400,0.6400366150118209,0.44274017827915557,500,0,#41b6c4
401,0.608434763180717,-0.3840406177328459,500,1,#CA054D
402,0.6059774124248554,-0.4220195838585763,500,1,#CA054D
403,0.6793072541215874,-0.3744212809661188,500,1,#CA054D
404,0.6221358833894202,-0.40713183460873176,500,1,#CA054D
405,0.6257811654426604,0.39362934464910077,500,0,#41b6c4
406,0.5987266010202931,-0.3429446220806062,500,1,#CA054D
407,0.5266248055880082,0.4541301898522668,500,0,#41b6c4
408,0.6057966258416849,-0.38396713900957813,500,1,#CA054D
409,0.6419405338461902,-0.356070364364739,500,1,#CA054D
410,0.5959446913305195,0.4836853684996703,500,0,#41b6c4
411,0.5667776045448611,0.3940825798581542,500,0,#41b6c4
412,0.5943522700328899,0.4080066664709365,500,0,#41b6c4
413,0.6221035746914128,0.4152261442685541,500,0,#41b6c4
414,0.6335292679273354,-0.3134795917332532,500,1,#CA054D
415,0.595369743889598,0.460169375980724,500,0,#41b6c4
416,0.6407002205052625,-0.38729614945164,500,1,#CA054D
417,0.6559572778222653,-0.42496144252493945,500,1,#CA054D
418,0.5858171972680741,0.390651463024281,500,0,#41b6c4
419,0.5954001652834182,-0.3908833913542622,500,1,#CA054D
420,0.6251553956554208,-0.42447371534358636,500,1,#CA054D
421,0.648105216760053,-0.4420055410302917,500,1,#CA054D
422,0.5792181859739568,-0.3525986338552614,500,1,#CA054D
423,0.548584118615479,0.39217577226903166,500,0,#41b6c4
424,0.4671684771453651,0.329995585792226,500,0,#41b6c4
425,0.685904328954372,-0.39453624844713764,500,1,#CA054D
426,0.7188805101283589,-0.46986543310328793,500,1,#CA054D
427,0.6510963667985601,-0.39450873499927214,500,1,#CA054D
428,0.5928502158186774,0.42430559212935026,500,0,#41b6c4
429,0.66245772754082,-0.3555829465732438,500,1,#CA054D
430,0.6805374228048282,-0.40601453180999797,500,1,#CA054D
431,0.5801336325407904,0.4139712432317228,500,0,#41b6c4
432,0.654345698741572,-0.3518470870656793,500,1,#CA054D
433,0.5511962698194838,0.44510610536696743,500,0,#41b6c4
434,0.580285553992532,0.4595312386157968,500,0,#41b6c4
435,0.6934101118068905,-0.4220356618936249,500,1,#CA054D
436,0.6749080120686725,-0.32955956682078147,500,1,#CA054D
437,0.4958192570234655,0.42754807791800253,500,0,#41b6c4
438,0.6141081133473856,-0.38152617257283056,500,1,#CA054D
439,0.5786361386931373,0.46253973984926605,500,0,#41b6c4
440,0.5756482672896996,0.353636430318655,500,0,#41b6c4
441,0.6125518180129781,-0.43963553434198976,500,1,#CA054D
442,0.625001461377734,-0.3719580616536316,500,1,#CA054D
443,0.6011791900191177,0.43512511540740906,500,0,#41b6c4
444,0.6219764739338502,-0.4782453170877242,500,1,#CA054D
445,0.5835765946812463,0.31193194656052325,500,0,#41b6c4
446,0.5248577463660027,0.39513687076308884,500,0,#41b6c4
447,0.5096875144702027,0.39567085899929194,500,0,#41b6c4
448,0.6271152681010643,-0.3618221148093516,500,1,#CA054D
449,0.5397998611654417,0.46617055078811825,500,0,#41b6c4
450,0.5641045584137209,0.3657081603773503,500,0,#41b6c4
451,0.6167138061228468,-0.38569817674916085,500,1,#CA054D
452,0.5848670622278405,0.45936019924849664,500,0,#41b6c4
