,x_emb,y_emb,n,tau,tau_colours
30,0.6437054668210531,-0.4583682013470546,50,1,#CA054D
31,0.5359349484429883,0.2124680813707073,50,0,#41b6c4
32,0.4193215621703529,0.4326789289738401,50,0,#41b6c4
33,0.7747309094577183,0.2008865579489093,50,1,#CA054D
34,0.7026088909951073,0.7362899068687396,50,0,#41b6c4
35,0.6117079042080419,0.4587617991267886,50,0,#41b6c4
36,0.7508152309025958,-0.4238166357070371,50,1,#CA054D
37,0.4658127974177589,0.39597799535143247,50,0,#41b6c4
38,0.7294116633456554,-0.5883738692723572,50,1,#CA054D
39,0.6408858044301305,-0.2471159827039915,50,1,#CA054D
40,0.5481268812950967,-0.4943931770897462,50,1,#CA054D
41,0.5530754819732826,-0.27210241345087555,50,1,#CA054D
42,0.8461177413101294,-0.47806911158779464,50,1,#CA054D
43,0.711617487531375,-0.5420752624573121,50,1,#CA054D
44,0.7920848349118909,0.04401792332591705,50,1,#CA054D
45,0.750611738304132,-0.4351011021510914,50,1,#CA054D
46,0.5508557795323924,0.1609138187048476,50,0,#41b6c4
47,0.37588402370537705,0.06537663045540339,50,1,#CA054D
48,0.41446023175203817,-0.24897214256777195,50,1,#CA054D
49,0.5191216509248721,0.37784439258168934,50,0,#41b6c4
50,0.8135806646029601,-0.3546305018261973,50,1,#CA054D
51,0.5197518039695244,-0.330433501844133,50,1,#CA054D
52,0.6230662268419229,-0.4427877098570794,50,1,#CA054D
53,0.6662845201186891,-0.5303894378168312,50,1,#CA054D
54,0.5413291172705045,0.3506931827718361,50,0,#41b6c4
55,0.4016276218720738,0.36631862447821667,50,0,#41b6c4
56,0.6296933933162004,0.5719065140217177,50,0,#41b6c4
57,0.7442875839885117,0.6075338867095491,50,0,#41b6c4
58,0.5780427198647745,0.13682465068781616,50,0,#41b6c4
59,0.7240794781928749,-0.2932616736336686,50,1,#CA054D
60,0.5735150841624097,0.745404748070115,50,0,#41b6c4
61,0.6694104042623282,-0.4841674181310536,50,1,#CA054D
62,0.553677853087149,0.2970948181425002,50,0,#41b6c4
63,0.46679214650381357,0.4588268427794682,50,0,#41b6c4
64,0.3594864490396917,0.41933543213393837,50,0,#41b6c4
65,0.4673611290817165,0.464223289280029,50,0,#41b6c4
66,0.4918637105723004,0.2621979753525173,50,0,#41b6c4
67,0.5435099007046019,-0.470417674382941,50,1,#CA054D
68,0.7134601293994743,0.6308536005469638,50,0,#41b6c4
69,0.4572294432546868,0.4063554141144395,50,0,#41b6c4
70,0.5292358183042939,-0.13917242489092557,50,1,#CA054D
71,0.3838543762193448,0.2791309423087704,50,0,#41b6c4
72,0.8005920353209762,0.6456777816181003,50,0,#41b6c4
73,0.5234056484544515,0.2604324552915946,50,0,#41b6c4
74,0.6861479837664022,-0.6048270497568216,50,1,#CA054D
75,0.6435311004163395,-0.07695371275271289,50,1,#CA054D
76,0.6696202105729926,-0.23219430230819485,50,1,#CA054D
77,0.5011199043257314,0.23897116943368504,50,0,#41b6c4
78,0.43687272543778427,0.019703364991169297,50,0,#41b6c4
79,0.7889094848919614,-0.5269937318536274,50,1,#CA054D
