,x_emb,y_emb,n,tau,tau_colours
180,0.5681922645665315,0.3326030768910564,200,0,#41b6c4
181,0.6035504835808984,0.459375661456083,200,0,#41b6c4
182,0.6081475758767101,0.23133095499023984,200,0,#41b6c4
183,0.4492956479643838,0.4044817147989527,200,0,#41b6c4
184,0.5719538971026891,-0.2990558223929482,200,1,#CA054D
185,0.6056852826608431,0.33270663816654633,200,0,#41b6c4
186,0.7105613190149748,-0.37262032219407226,200,1,#CA054D
187,0.5457543789572626,0.3746519045497855,200,0,#41b6c4
188,0.7057036916618302,-0.42470770144636655,200,1,#CA054D
189,0.6734830992026368,-0.46247817680172104,200,1,#CA054D
190,0.7012732879587069,-0.38744126839408205,200,1,#CA054D
191,0.5728966770076515,0.31384097163704416,200,0,#41b6c4
192,0.5723098908082077,0.4255896152299219,200,0,#41b6c4
193,0.5902876581046109,0.37774291486479,200,0,#41b6c4
194,0.6808138939107172,-0.3612249820379791,200,1,#CA054D
195,0.6182395428356361,0.4374168368186901,200,0,#41b6c4
196,0.47203180452851123,0.355654959389159,200,0,#41b6c4
197,0.5634347775290487,-0.3445462614033131,200,1,#CA054D
198,0.6472028238692796,-0.23631452997436397,200,1,#CA054D
199,0.619551260345429,0.4848597954841538,200,0,#41b6c4
200,0.5671732439454605,-0.4655249596830772,200,1,#CA054D
201,0.5813688996511717,0.4649998191237836,200,0,#41b6c4
202,0.6674096348786743,-0.32669860166876635,200,1,#CA054D
203,0.4656239659343057,0.31969759030425143,200,0,#41b6c4
204,0.5183113711299625,0.33157825145611486,200,0,#41b6c4
205,0.634824933403947,-0.43839795788949937,200,1,#CA054D
206,0.670156255455604,-0.42193319999405915,200,1,#CA054D
207,0.5792495710023338,-0.4536290458841282,200,1,#CA054D
208,0.6055058403445958,-0.4050795287296715,200,1,#CA054D
209,0.6072182650519444,0.38521392923723485,200,0,#41b6c4
210,0.5579807935049501,0.38883521637174684,200,0,#41b6c4
211,0.7039291605602772,-0.26567545716854873,200,1,#CA054D
212,0.5665565091184789,0.49884315937151374,200,0,#41b6c4
213,0.6405469822371872,-0.4291293525492173,200,1,#CA054D
214,0.6197020807478956,0.5244989387381831,200,0,#41b6c4
215,0.6037435470438042,0.5219573402355369,200,0,#41b6c4
216,0.6973623233950469,-0.4383162584585193,200,1,#CA054D
217,0.5526847503773398,0.4412226557961995,200,0,#41b6c4
218,0.4512932877651804,0.2607330141858663,200,0,#41b6c4
219,0.6365351008089375,-0.4096212606285571,200,1,#CA054D
220,0.5221440468269711,0.3463855213721606,200,0,#41b6c4
221,0.7194808288034078,-0.610550931798982,200,1,#CA054D
222,0.5399578321767909,-0.2225760627352999,200,1,#CA054D
223,0.5940006504624045,0.3639936310580365,200,0,#41b6c4
224,0.6239745236496433,-0.30281866791985,200,1,#CA054D
225,0.5973991406442125,-0.3487154449033508,200,1,#CA054D
226,0.6606917257402762,-0.3219496345629305,200,1,#CA054D
227,0.5898765971468934,-0.257039928383464,200,1,#CA054D
228,0.5429630648438764,0.4568006756233992,200,0,#41b6c4
229,0.5711678900505602,0.487421859675911,200,0,#41b6c4
230,0.6621169250767983,-0.32217730399508077,200,1,#CA054D
